Date,Temperature (C),Humidity (%),Wind Speed (km/h),Pressure (hPa),Rainfall (mm),Weather Condition
2022-12-29,11.9,94.1,29.4,1022.4,1.5,Drizzle
2022-12-30,5.6,90.2,32.6,993.4,1.9,Drizzle
2022-12-31,6.1,74.5,26.9,1025.4,0.3,Drizzle
2023-01-01,7.6,96.3,34.0,1010.7,0.6,Drizzle
2023-01-02,12.0,100.0,32.2,1010.2,0.8,Drizzle
2023-01-03,7.0,97.5,35.7,1007.6,0.4,Drizzle
2023-01-04,7.1,100.0,36.7,1014.3,0.3,Drizzle
2023-01-05,8.4,92.0,31.3,1020.4,0.3,Drizzle
2023-01-06,12.2,90.3,33.5,1005.8,0.0,Cloudy
2023-01-07,16.0,83.6,29.3,1020.7,0.7,Drizzle
2023-01-08,6.9,97.3,,1010.7,0.5,Drizzle
2023-01-09,8.7,79.6,30.1,1003.1,0.7,Drizzle
2023-01-10,8.2,86.3,32.6,1010.4,0.2,Drizzle
2023-01-11,4.6,75.6,26.9,1009.6,0.0,Partly Cloudy
2023-01-12,7.2,90.1,30.1,1002.9,0.9,Drizzle
2023-01-13,9.5,74.2,27.0,1017.5,0.1,Drizzle
2023-01-14,9.5,79.4,25.7,1009.2,0.5,Drizzle
2023-01-15,15.4,72.6,26.0,993.6,0.3,Drizzle
2023-01-16,20.4,73.9,40.8,1013.1,0.1,Drizzle
2023-01-17,4.6,97.4,42.4,1012.0,0.0,Partly Cloudy
2023-01-18,11.9,80.3,29.4,1010.8,0.4,Drizzle
2023-01-19,13.4,79.1,27.6,1008.8,0.0,Partly Cloudy
2023-01-20,12.8,78.6,31.7,1007.5,0.2,Drizzle
2023-01-21,15.5,84.2,25.1,1009.2,0.3,Drizzle
2023-01-22,12.3,80.9,29.7,1006.1,0.3,Drizzle
2023-01-23,9.1,84.5,32.3,1013.2,0.2,Drizzle
2023-01-24,14.3,76.6,27.6,1012.2,0.7,Drizzle
2023-01-25,8.1,72.3,34.6,1010.5,0.5,Drizzle
2023-01-26,8.6,69.3,26.6,1030.9,0.2,Partly Cloudy
2023-01-27,13.8,77.0,26.9,1024.2,0.5,Drizzle
2023-01-28,10.2,85.7,27.4,1011.0,0.3,Drizzle
2023-01-29,12.5,83.1,33.7,1010.6,2.1,Drizzle
2023-01-30,10.1,,27.4,1006.9,0.2,Drizzle
2023-01-31,10.1,88.0,24.4,999.4,0.3,Drizzle
2023-02-01,10.0,78.0,24.3,1014.0,0.5,Drizzle
2023-02-02,13.7,73.6,33.0,1025.2,0.4,Drizzle
2023-02-03,9.7,70.9,31.2,1017.4,1.1,Drizzle
2023-02-04,7.1,66.1,25.2,1008.8,1.1,Cloudy
2023-02-05,15.4,96.3,24.5,998.4,0.4,Drizzle
2023-02-06,17.4,84.9,31.1,1022.1,0.5,Drizzle
2023-02-07,7.6,88.9,27.2,1017.3,0.6,Drizzle
2023-02-08,12.6,86.8,25.2,1009.4,0.4,Drizzle
2023-02-09,20.2,83.7,25.6,1017.4,0.1,Drizzle
2023-02-10,12.4,88.4,25.6,1003.4,0.0,Cloudy
2023-02-11,14.2,78.5,23.8,1016.6,0.9,Drizzle
2023-02-12,15.3,85.9,23.8,1015.1,0.2,Drizzle
2023-02-13,14.0,78.5,26.9,1011.8,0.2,Drizzle
2023-02-14,22.9,68.4,26.5,1009.6,0.1,Cloudy
2023-02-15,12.4,71.9,27.2,1005.1,1.0,Drizzle
2023-02-16,13.8,89.2,35.8,1010.3,0.4,Drizzle
2023-02-17,8.1,78.1,27.5,1008.8,0.3,Drizzle
2023-02-18,18.8,73.7,22.9,1015.8,0.7,Drizzle
2023-02-19,18.3,66.3,22.1,997.9,0.4,Sunny
2023-02-20,16.8,81.2,36.3,1001.9,1.9,Drizzle
2023-02-21,19.9,85.1,35.5,1002.1,1.4,Drizzle
2023-02-22,12.3,100.0,23.4,1026.8,0.3,Drizzle
2023-02-23,10.6,86.4,39.8,1014.3,0.5,Drizzle
2023-02-24,14.2,66.4,21.5,1009.7,0.2,Sunny
2023-02-25,15.4,85.7,28.2,1004.1,0.8,Drizzle
2023-02-26,18.2,77.1,24.4,996.3,1.3,Drizzle
2023-02-27,12.6,91.3,23.6,1014.9,0.4,Drizzle
2023-02-28,17.8,90.4,22.2,1024.1,1.1,Drizzle
2023-03-01,18.8,64.0,21.0,1020.9,0.3,Sunny
2023-03-02,16.5,,21.8,1001.8,0.1,Drizzle
2023-03-03,14.7,92.1,27.6,1007.3,1.1,Drizzle
2023-03-04,16.9,75.8,20.4,1020.9,0.2,Drizzle
2023-03-05,15.2,80.3,30.3,1000.0,0.0,Cloudy
2023-03-06,12.5,72.5,24.5,995.7,0.0,Cloudy
2023-03-07,18.0,78.8,21.6,996.2,1.4,Drizzle
2023-03-08,19.4,74.8,27.4,1016.0,0.2,Drizzle
2023-03-09,22.2,92.1,23.9,1006.0,0.1,Drizzle
2023-03-10,16.7,87.6,21.9,1010.6,1.2,Drizzle
2023-03-11,15.9,93.6,20.7,1027.5,0.0,Sunny
2023-03-12,13.9,91.7,21.3,1007.5,0.6,Drizzle
2023-03-13,11.9,91.8,33.1,1000.6,0.6,Drizzle
2023-03-14,20.3,81.1,26.0,1003.9,1.1,Drizzle
2023-03-15,19.2,87.1,19.6,998.4,0.4,Drizzle
2023-03-16,31.7,62.1,29.7,1008.6,0.3,Sunny
2023-03-17,21.3,75.6,22.7,999.5,1.3,Drizzle
2023-03-18,22.6,77.7,19.9,1023.1,0.7,Drizzle
2023-03-19,24.4,78.4,23.3,1013.1,1.3,Drizzle
2023-03-20,20.2,57.3,19.7,1010.0,1.2,Sunny
2023-03-21,25.2,83.9,29.7,1006.9,0.0,Cloudy
2023-03-22,18.9,89.2,20.9,1016.3,0.0,Sunny
2023-03-23,22.3,69.9,27.8,1004.7,0.8,Cloudy
2023-03-24,23.9,50.7,19.9,1006.3,0.6,Partly Cloudy
2023-03-25,20.1,70.8,29.0,1018.5,0.1,Drizzle
2023-03-26,23.0,72.7,21.5,996.1,0.0,Partly Cloudy
2023-03-27,24.8,68.5,18.5,1001.2,0.3,Partly Cloudy
2023-03-28,19.7,,29.8,1011.4,0.1,Partly Cloudy
2023-03-29,20.7,73.9,19.8,997.7,0.1,Drizzle
2023-03-30,24.7,72.7,28.2,,0.5,Drizzle
2023-03-31,18.6,69.0,30.2,1007.8,0.1,Partly Cloudy
2023-04-01,22.8,67.6,21.0,1004.2,0.7,Sunny
2023-04-02,19.8,57.3,33.6,1004.3,0.1,Sunny
2023-04-03,29.3,78.7,18.7,1010.7,0.8,Drizzle
2023-04-04,24.6,68.9,23.4,1029.9,0.4,Partly Cloudy
2023-04-05,22.8,82.0,16.2,1017.3,0.2,Drizzle
2023-04-06,26.8,73.3,20.0,1013.8,0.1,Drizzle
2023-04-07,25.1,74.4,16.3,998.4,1.1,Drizzle
2023-04-08,24.3,79.1,17.3,1001.7,0.3,Drizzle
2023-04-09,30.2,73.3,16.5,1002.3,0.4,Drizzle
2023-04-10,31.6,63.2,27.5,1010.0,0.1,Sunny
2023-04-11,28.5,79.3,32.2,993.0,,Drizzle
2023-04-12,27.2,59.9,20.3,1001.6,0.8,Sunny
2023-04-13,26.5,,19.8,1002.3,0.1,Drizzle
2023-04-14,22.3,88.9,17.3,1001.9,0.3,Drizzle
2023-04-15,33.1,78.8,17.2,1000.8,0.0,Partly Cloudy
2023-04-16,26.3,80.8,19.5,1006.7,,Drizzle
2023-04-17,21.5,61.7,18.3,1008.5,0.7,Partly Cloudy
2023-04-18,27.0,45.4,19.8,999.1,0.2,Sunny
2023-04-19,27.4,59.3,26.4,1008.1,0.7,Sunny
2023-04-20,24.1,61.1,16.1,1011.3,0.6,Partly Cloudy
2023-04-21,28.8,69.8,15.1,,0.4,Sunny
2023-04-22,30.2,68.8,22.6,1014.0,0.1,Sunny
2023-04-23,27.2,78.6,18.9,1000.8,1.3,Drizzle
2023-04-24,33.6,76.0,26.4,1019.3,0.4,Drizzle
2023-04-25,25.1,74.2,15.2,998.6,0.8,Drizzle
2023-04-26,28.9,66.9,16.8,1017.8,1.0,Partly Cloudy
2023-04-27,25.1,63.8,13.5,1006.0,0.1,Sunny
2023-04-28,27.0,68.3,15.3,1017.6,0.5,Partly Cloudy
2023-04-29,30.3,74.8,16.1,1006.5,,Drizzle
2023-04-30,30.7,77.5,18.9,1025.1,1.5,Drizzle
2023-05-01,30.8,52.8,35.2,1009.2,0.3,Partly Cloudy
2023-05-02,33.1,85.3,13.6,1008.4,0.5,Drizzle
2023-05-03,29.6,82.6,21.7,1012.8,0.4,Drizzle
2023-05-04,32.8,83.1,27.9,1008.5,0.6,Drizzle
2023-05-05,27.3,74.2,12.8,1015.7,0.3,Drizzle
2023-05-06,24.4,85.4,14.8,1009.5,1.4,Drizzle
2023-05-07,37.1,67.5,14.6,1010.3,0.2,Cloudy
2023-05-08,31.3,85.1,12.6,1005.8,0.0,Cloudy
2023-05-09,29.8,78.8,15.9,1006.8,0.6,Drizzle
2023-05-10,29.6,69.2,17.3,1012.4,0.4,Sunny
2023-05-11,28.2,68.0,18.7,1011.3,0.5,Partly Cloudy
2023-05-12,32.8,80.2,13.6,1016.2,0.8,Drizzle
2023-05-13,33.6,56.9,15.3,1001.3,0.3,Partly Cloudy
2023-05-14,32.5,69.3,12.5,1007.4,0.7,Cloudy
2023-05-15,35.5,66.7,12.1,995.5,0.3,Partly Cloudy
2023-05-16,37.4,78.7,17.6,1003.8,0.9,Drizzle
2023-05-17,32.3,60.9,28.3,1005.0,0.2,Sunny
2023-05-18,37.7,74.0,15.3,1023.7,1.0,Drizzle
2023-05-19,29.3,87.4,58.7,,0.9,Drizzle
2023-05-20,33.1,83.3,13.1,1017.3,1.9,Drizzle
2023-05-21,25.6,68.5,15.2,1008.2,0.3,Cloudy
2023-05-22,36.0,68.5,12.1,1013.5,0.1,Partly Cloudy
2023-05-23,31.2,61.1,12.7,999.0,0.2,Sunny
2023-05-24,32.8,66.8,15.7,1009.2,0.9,Cloudy
2023-05-25,36.7,70.7,23.1,998.9,0.0,Cloudy
2023-05-26,37.3,69.5,24.0,1005.8,0.0,Partly Cloudy
2023-05-27,41.7,63.8,15.5,1010.3,0.1,Sunny
2023-05-28,33.7,51.6,13.3,1009.7,1.4,Sunny
2023-05-29,35.3,77.7,13.1,,0.6,Drizzle
2023-05-30,37.5,55.0,18.2,1010.7,0.1,Partly Cloudy
2023-05-31,35.5,45.1,16.7,1000.0,0.3,Sunny
2023-06-01,33.4,67.6,10.9,1007.6,0.2,Cloudy
2023-06-02,38.6,49.5,11.0,1018.8,0.0,Sunny
2023-06-03,37.0,51.7,15.1,998.5,0.1,Partly Cloudy
2023-06-04,34.6,71.5,15.5,1012.2,0.1,Drizzle
2023-06-05,32.5,86.2,11.7,995.1,0.8,Drizzle
2023-06-06,34.9,59.0,20.9,994.9,0.4,Sunny
2023-06-07,34.2,62.4,10.5,1024.4,0.6,Partly Cloudy
2023-06-08,32.0,70.1,14.5,,0.2,Drizzle
2023-06-09,34.9,63.3,16.7,1000.9,0.4,Partly Cloudy
2023-06-10,34.7,71.8,12.1,1009.1,0.4,Drizzle
2023-06-11,33.9,69.7,13.0,1010.5,1.0,Sunny
2023-06-12,32.4,58.1,31.2,1005.4,0.4,Sunny
2023-06-13,31.4,55.8,10.2,1020.4,0.1,Sunny
2023-06-14,35.6,44.2,11.0,1008.7,0.6,Sunny
2023-06-15,38.6,61.9,10.2,1019.3,0.3,Sunny
2023-06-16,38.2,50.8,11.6,1002.7,0.1,Partly Cloudy
2023-06-17,33.7,58.1,23.5,1018.2,0.4,Partly Cloudy
2023-06-18,33.9,61.1,10.1,996.8,0.2,Sunny
2023-06-19,34.5,64.2,12.3,1003.4,0.2,Sunny
2023-06-20,39.6,64.1,11.4,996.2,0.7,Partly Cloudy
2023-06-21,31.6,55.9,10.8,1017.0,0.0,Sunny
2023-06-22,31.8,51.1,,1016.5,0.3,Sunny
2023-06-23,36.1,71.3,16.0,1012.0,0.1,Drizzle
2023-06-24,37.3,66.6,12.0,1027.8,0.5,Partly Cloudy
2023-06-25,38.3,63.1,,1024.9,,Sunny
2023-06-26,36.8,61.7,,990.8,0.0,Sunny
2023-06-27,36.9,63.3,17.9,,0.8,Sunny
2023-06-28,32.5,58.1,20.5,1012.5,1.0,Sunny
2023-06-29,28.3,78.8,18.4,998.9,1.3,Drizzle
2023-06-30,31.0,82.9,17.2,1018.8,0.7,Drizzle
2023-07-01,33.3,78.5,38.7,1005.7,0.1,Drizzle
2023-07-02,34.5,66.4,10.5,1006.8,0.4,Cloudy
2023-07-03,35.3,65.7,,1008.3,2.3,Cloudy
2023-07-04,32.8,76.7,15.4,1010.6,0.5,Drizzle
2023-07-05,38.8,58.9,29.8,990.0,0.5,Sunny
2023-07-06,35.2,61.1,18.3,989.6,0.2,Partly Cloudy
2023-07-07,30.9,57.8,11.7,1017.0,0.4,Sunny
2023-07-08,30.7,75.7,13.3,1007.9,1.2,Drizzle
2023-07-09,34.9,50.2,13.2,1015.0,0.1,Partly Cloudy
2023-07-10,31.7,57.6,18.2,1006.7,1.1,Partly Cloudy
2023-07-11,29.0,75.1,14.9,993.2,0.1,Drizzle
2023-07-12,34.7,80.9,13.0,,0.3,Drizzle
2023-07-13,41.8,51.2,10.9,1019.2,0.3,Sunny
2023-07-14,29.0,52.0,11.4,1003.8,1.2,Sunny
2023-07-15,32.7,67.2,24.2,1025.1,0.7,Cloudy
2023-07-16,32.8,64.8,16.6,1012.9,0.1,Sunny
2023-07-17,38.5,48.2,11.5,1014.5,0.4,Sunny
2023-07-18,30.5,64.8,11.1,1009.3,0.6,Sunny
2023-07-19,34.0,72.8,17.6,1029.5,,Drizzle
2023-07-20,32.0,82.9,16.9,1000.3,0.3,Drizzle
2023-07-21,32.4,83.8,18.8,1012.4,1.6,Drizzle
2023-07-22,31.8,55.9,13.6,1021.1,0.5,Partly Cloudy
2023-07-23,34.4,50.4,12.2,1002.0,0.3,Sunny
2023-07-24,35.7,53.9,19.7,1004.1,0.2,Sunny
2023-07-25,41.1,60.1,14.1,1003.8,0.4,Sunny
2023-07-26,28.4,58.2,16.4,993.4,0.3,Sunny
2023-07-27,35.2,49.9,22.3,1012.9,0.0,Sunny
2023-07-28,31.0,81.0,24.8,1015.5,0.2,Drizzle
2023-07-29,25.2,80.6,11.7,1018.7,0.4,Drizzle
2023-07-30,37.2,63.2,12.5,1007.8,0.0,Partly Cloudy
2023-07-31,26.4,81.5,21.2,996.0,0.0,Cloudy
2023-08-01,36.0,51.3,14.8,1017.1,0.7,Sunny
2023-08-02,32.2,54.7,15.8,1022.7,0.1,Sunny
2023-08-03,32.4,58.4,17.0,1000.4,0.3,Sunny
2023-08-04,36.8,66.9,15.1,1017.5,,Sunny
2023-08-05,33.2,77.4,18.5,999.5,0.3,Drizzle
2023-08-06,36.9,70.3,14.6,1002.5,0.4,Drizzle
2023-08-07,28.1,76.7,15.5,992.2,0.6,Drizzle
2023-08-08,28.3,59.4,18.1,1021.9,0.3,Sunny
2023-08-09,36.8,57.3,26.6,1013.1,1.2,Sunny
2023-08-10,28.1,78.2,18.5,1010.7,0.7,Drizzle
2023-08-11,30.6,76.3,14.6,997.5,0.1,Drizzle
2023-08-12,27.8,52.2,17.0,1018.7,0.2,Sunny
2023-08-13,28.6,73.0,15.0,1004.6,0.1,Drizzle
2023-08-14,27.4,67.2,15.1,1008.9,0.3,Partly Cloudy
2023-08-15,35.3,46.9,14.6,1025.4,0.3,Sunny
2023-08-16,25.8,100.0,26.4,1004.3,0.9,Drizzle
2023-08-17,27.6,91.2,16.5,1013.2,1.6,Drizzle
2023-08-18,24.3,83.5,,1019.8,0.5,Drizzle
2023-08-19,34.6,64.5,21.0,1012.4,0.4,Partly Cloudy
2023-08-20,25.9,71.7,14.9,999.8,0.4,Drizzle
2023-08-21,23.9,81.3,17.7,1022.8,2.8,Drizzle
2023-08-22,25.1,67.0,25.5,1006.8,0.4,Sunny
2023-08-23,28.6,,15.2,1002.0,0.8,Drizzle
2023-08-24,35.0,56.5,14.7,1010.4,0.3,Partly Cloudy
2023-08-25,30.2,90.1,47.6,1017.6,0.2,Drizzle
2023-08-26,21.3,83.7,15.7,1005.7,0.8,Drizzle
2023-08-27,29.6,68.5,19.1,1022.2,0.4,Partly Cloudy
2023-08-28,26.4,96.2,15.5,1003.6,0.5,Drizzle
2023-08-29,25.3,72.1,18.6,1016.3,0.2,Drizzle
2023-08-30,26.6,68.6,29.4,1013.1,0.1,Partly Cloudy
2023-08-31,26.7,58.9,16.2,1017.7,0.6,Sunny
2023-09-01,28.7,83.7,18.2,999.9,1.3,Drizzle
2023-09-02,24.9,63.6,17.4,1007.2,0.3,Sunny
2023-09-03,23.9,78.6,23.4,1022.5,0.0,Cloudy
2023-09-04,24.9,75.1,22.6,1000.5,0.3,Drizzle
2023-09-05,25.2,51.8,28.4,1001.2,0.2,Sunny
2023-09-06,19.0,85.3,24.6,1016.3,0.4,Drizzle
2023-09-07,27.6,57.3,26.1,1012.7,0.4,Sunny
2023-09-08,25.4,73.6,25.7,997.9,0.1,Drizzle
2023-09-09,20.2,80.9,19.8,1021.7,0.4,Drizzle
2023-09-10,23.7,74.8,24.8,999.2,0.1,Drizzle
2023-09-11,28.0,72.2,28.1,1022.5,0.5,Drizzle
2023-09-12,27.0,53.7,19.4,1001.8,0.3,Sunny
2023-09-13,28.1,54.4,27.6,1012.7,0.1,Sunny
2023-09-14,27.7,89.0,26.0,1012.5,1.7,Drizzle
2023-09-15,23.8,68.7,23.2,1009.9,0.2,Partly Cloudy
2023-09-16,23.0,69.0,21.3,1013.1,0.4,Partly Cloudy
2023-09-17,30.3,80.4,17.8,1019.2,0.4,Drizzle
2023-09-18,23.8,79.0,22.8,1017.9,0.5,Drizzle
2023-09-19,25.0,70.0,18.0,1011.0,0.3,Partly Cloudy
2023-09-20,24.8,,23.1,999.7,0.1,Sunny
2023-09-21,21.9,86.8,23.1,1005.0,0.4,Drizzle
2023-09-22,18.5,83.5,22.2,1022.2,0.4,Drizzle
2023-09-23,23.1,60.6,22.2,1021.8,1.4,Cloudy
2023-09-24,18.8,75.8,20.8,998.0,1.1,Drizzle
2023-09-25,21.1,79.3,33.0,983.4,0.9,Drizzle
2023-09-26,20.1,81.6,25.4,1005.4,0.1,Drizzle
2023-09-27,14.9,90.6,19.9,994.7,0.4,Drizzle
2023-09-28,18.7,76.6,22.4,1005.8,1.0,Drizzle
2023-09-29,18.9,71.2,35.2,1009.3,0.1,Drizzle
2023-09-30,19.1,79.4,26.7,1017.7,0.9,Drizzle
2023-10-01,13.7,83.7,26.4,993.2,1.4,Drizzle
2023-10-02,22.4,62.2,31.4,,0.8,Partly Cloudy
2023-10-03,17.2,86.7,19.9,997.3,0.4,Drizzle
2023-10-04,15.8,64.9,23.8,1005.5,0.1,Cloudy
2023-10-05,17.9,88.0,31.3,1010.4,0.6,Drizzle
2023-10-06,17.5,83.3,20.9,1017.1,0.6,Drizzle
2023-10-07,14.4,70.5,23.5,1014.9,0.2,Drizzle
2023-10-08,21.4,55.8,29.9,1008.6,0.1,Partly Cloudy
2023-10-09,18.4,100.0,24.3,,0.4,Drizzle
2023-10-10,14.3,69.9,,1010.2,0.0,Sunny
2023-10-11,15.6,82.2,22.2,1015.5,1.6,Drizzle
2023-10-12,24.4,69.0,25.1,1012.7,0.4,Partly Cloudy
2023-10-13,21.3,68.3,33.5,1024.6,0.8,Partly Cloudy
2023-10-14,17.5,80.0,23.1,1007.0,0.2,Drizzle
2023-10-15,17.0,81.7,26.4,1003.3,1.2,Drizzle
2023-10-16,19.1,82.6,26.5,1017.2,0.5,Drizzle
2023-10-17,14.8,76.0,25.6,999.8,0.8,Drizzle
2023-10-18,15.8,68.8,23.7,1015.3,0.7,Partly Cloudy
2023-10-19,15.5,86.2,27.9,1016.4,0.9,Drizzle
2023-10-20,19.2,68.4,24.3,1015.8,0.3,Cloudy
2023-10-21,12.5,93.7,31.0,1023.2,0.5,Drizzle
2023-10-22,8.2,86.2,40.1,1007.4,,Drizzle
2023-10-23,8.2,79.0,29.5,1010.8,0.1,Drizzle
2023-10-24,11.7,77.9,28.8,1003.1,0.1,Drizzle
2023-10-25,14.2,71.7,23.1,1016.2,0.2,Drizzle
2023-10-26,19.4,94.7,25.9,1033.6,0.7,Drizzle
2023-10-27,11.1,85.8,28.7,1000.0,0.2,Drizzle
2023-10-28,16.9,87.1,27.5,1013.3,0.4,Drizzle
2023-10-29,19.6,90.4,29.6,1016.8,0.3,Drizzle
2023-10-30,15.3,61.1,24.4,1020.3,0.0,Cloudy
2023-10-31,7.7,100.0,25.3,1020.5,0.7,Drizzle
2023-11-01,15.2,74.1,34.8,1018.9,0.4,Drizzle
2023-11-02,11.5,56.1,33.1,993.5,0.4,Sunny
2023-11-03,7.1,81.3,25.8,1002.4,0.2,Drizzle
2023-11-04,7.5,92.7,30.0,997.2,1.1,Drizzle
2023-11-05,14.5,90.5,32.2,1015.0,0.3,Drizzle
2023-11-06,13.4,76.7,23.8,1009.3,0.4,Drizzle
2023-11-07,13.3,81.9,28.6,1022.5,0.2,Drizzle
2023-11-08,12.5,78.5,34.1,1011.6,0.3,Drizzle
2023-11-09,10.4,97.3,25.3,1003.5,0.1,Drizzle
2023-11-10,16.5,88.6,25.4,1020.3,0.4,Drizzle
2023-11-11,4.0,78.4,28.2,1007.7,0.3,Drizzle
2023-11-12,12.5,93.9,30.7,991.8,0.9,Drizzle
2023-11-13,6.0,92.1,26.5,1014.1,0.2,Drizzle
2023-11-14,6.8,90.0,31.6,1011.8,0.2,Drizzle
2023-11-15,7.5,86.5,25.4,1000.7,,Drizzle
2023-11-16,11.9,69.4,43.5,1023.0,0.0,Partly Cloudy
2023-11-17,21.3,93.0,28.5,993.1,0.4,Drizzle
2023-11-18,6.5,66.1,45.9,1016.1,0.2,Sunny
2023-11-19,12.1,79.0,32.0,1005.3,1.0,Drizzle
2023-11-20,12.5,76.4,31.9,1025.1,0.3,Drizzle
2023-11-21,14.3,88.1,28.0,1014.8,0.0,Cloudy
2023-11-22,10.3,98.6,38.9,1011.7,0.1,Drizzle
2023-11-23,9.6,76.4,41.4,1020.4,0.2,Drizzle
2023-11-24,5.4,89.0,26.4,1009.9,0.5,Drizzle
2023-11-25,6.4,66.6,53.2,1006.9,0.8,Partly Cloudy
2023-11-26,13.3,77.3,29.8,1018.5,,Drizzle
2023-11-27,9.4,88.7,29.8,993.1,1.7,Drizzle
2023-11-28,9.9,92.5,27.0,1009.9,0.0,Cloudy
2023-11-29,1.6,89.3,27.5,1012.2,0.1,Drizzle
2023-11-30,11.2,92.9,26.9,1023.6,0.6,Drizzle
2023-12-01,-0.3,82.7,30.2,1003.0,0.0,Cloudy
2023-12-02,6.4,89.3,26.8,994.9,0.2,Drizzle
2023-12-03,15.6,97.2,31.8,1024.7,1.1,Drizzle
2023-12-04,10.6,94.2,37.5,1001.5,0.1,Drizzle
2023-12-05,5.6,88.8,27.1,1012.7,0.7,Drizzle
2023-12-06,8.1,86.9,39.2,1012.2,0.9,Drizzle
2023-12-07,8.1,97.3,34.2,1003.4,0.6,Drizzle
2023-12-08,5.9,95.6,32.5,1010.6,0.2,Drizzle
2023-12-09,12.2,79.0,30.6,1007.5,0.1,Drizzle
2023-12-10,6.2,94.9,39.3,1012.3,0.3,Drizzle
2023-12-11,8.5,100.0,27.9,998.0,0.3,Drizzle
2023-12-12,9.3,71.5,26.7,999.2,0.1,Drizzle
2023-12-13,4.7,91.0,26.3,1007.2,0.1,Drizzle
2023-12-14,9.0,83.0,29.8,1018.3,0.5,Drizzle
2023-12-15,8.7,98.9,36.2,993.8,1.6,Drizzle
2023-12-16,5.4,75.6,36.8,1015.7,0.0,Partly Cloudy
2023-12-17,7.5,89.5,59.3,1019.5,0.3,Drizzle
2023-12-18,3.7,90.2,28.5,1008.6,0.5,Drizzle
2023-12-19,4.0,95.8,29.2,999.0,0.7,Drizzle
2023-12-20,6.5,84.9,26.7,1010.5,0.4,Drizzle
2023-12-21,5.0,77.8,26.9,1010.7,0.7,Drizzle
2023-12-22,8.4,64.4,32.2,1021.5,0.6,Partly Cloudy
2023-12-23,10.0,94.0,27.6,1016.6,1.0,Drizzle
2023-12-24,7.5,67.5,28.6,1016.6,0.9,Sunny
2023-12-25,9.9,91.1,27.0,1007.8,0.1,Drizzle
2023-12-26,3.4,95.6,30.0,1005.7,0.4,Drizzle
2023-12-27,11.3,96.2,32.4,1009.4,0.1,Drizzle
2023-12-28,6.9,91.2,43.6,1006.8,1.2,Drizzle
2023-12-29,4.0,76.6,30.9,1010.8,0.5,Drizzle
2023-12-30,7.7,84.9,31.4,992.2,0.5,Drizzle
